GHS_NUM;GHM_NUM;GHS_SEU_BAS;GHS_SEU_HAU;GHS_PRI;EXH_PRI;EHB_FOR;EHB_PRI
0854;03M094;5;53;9929.14;346.60;4713.60;0.00
0855;03M09T;0;0;663.40;0.00;0.00;0.00
0856;03M101;0;5;1238.71;126.14;0.00;0.00
0857;03M102;0;16;2678.05;121.43;0.00;0.00
0858;03M103;0;27;4013.75;270.44;0.00;0.00
0859;03M104;0;0;7640.66;0.00;0.00;0.00
0860;03M111;0;4;1112.91;130.22;0.00;0.00
0861;03M112;0;18;2935.93;189.01;0.00;0.00
0862;03M113;0;32;5582.11;325.97;0.00;0.00
0863;03M114;5;47;10626.21;418.45;5044.10;0.00
0864;03M121;2;8;1984.49;413.29;0.00;691.59
0865;03M122;0;14;4464.26;587.49;0.00;0.00
0866;03M123;0;0;6687.41;0.00;0.00;0.00
0867;03M124;0;0;12730.29;0.00;0.00;0.00
0868;03M131;2;6;1295.69;180.72;0.00;357.55
0869;03M132;0;14;2914.75;161.46;0.00;0.00
0870;03M133;0;23;4367.92;346.70;0.00;0.00
0871;03M134;0;0;8311.70;0.00;0.00;0.00
0872;03M14Z;0;0;963.91;0.00;0.00;0.00
0873;03M15Z;0;12;2085.87;319.72;0.00;0.00
0874;03M02T;0;0;514.72;0.00;0.00;0.00
0875;03M03T;0;0;671.68;0.00;0.00;0.00
0876;03M04T;0;0;592.88;0.00;0.00;0.00
0877;03M05T;0;0;599.83;0.00;0.00;0.00
0878;03M06T;0;0;565.73;0.00;0.00;0.00
0879;03M08T;0;0;614.73;0.00;0.00;0.00
0880;03M10T;0;0;1096.67;0.00;0.00;0.00
0881;03M11T;0;0;648.66;0.00;0.00;0.00
0882;03M15T;0;0;600.95;0.00;0.00;0.00
1005;04C021;4;21;7065.70;184.72;0.00;1117.28
1006;04C022;6;32;9496.33;178.49;2430.63;0.00
1007;04C023;6;50;13916.26;152.24;4419.93;0.00
1008;04C024;11;96;20919.39;408.07;7003.13;0.00
1009;04C031;2;7;2427.55;160.67;0.00;404.61
1010;04C032;4;38;8843.64;144.36;6416.09;0.00
1011;04C033;8;71;16728.29;87.62;7884.65;0.00
1012;04C034;21;126;21547.26;319.22;4818.97;0.00
1013;04C041;4;19;4998.19;176.16;0.00;851.83
1014;04C042;6;32;7288.27;236.43;2290.07;0.00
1015;04C043;6;51;11804.13;235.55;4515.86;0.00
1016;04C044;9;78;18163.95;436.13;6359.82;0.00
1129;04K02J;0;0;813.75;0.00;0.00;0.00
1130;04M021;0;7;1680.15;286.67;0.00;0.00
1131;04M022;0;12;3164.59;278.15;0.00;0.00
1132;04M023;0;18;4833.50;477.04;0.00;0.00
1133;04M024;0;24;8157.31;632.19;0.00;0.00
1134;04M031;0;10;1558.40;127.32;0.00;0.00
1135;04M032;0;19;2862.80;106.08;0.00;0.00
1136;04M033;5;26;3605.39;126.57;742.59;0.00
1137;04M034;0;39;5250.83;247.39;0.00;0.00
1138;04M041;2;6;1620.74;200.29;0.00;607.78
1139;04M042;0;15;3554.60;183.89;0.00;0.00
1140;04M043;0;23;5025.75;296.23;0.00;0.00
1141;04M044;0;35;8580.56;451.19;0.00;0.00
1142;04M051;0;11;1940.76;128.45;0.00;0.00
1143;04M052;0;21;3225.30;132.82;0.00;0.00
1144;04M053;5;31;4553.49;148.33;1328.19;0.00
1145;04M054;5;46;6778.44;273.41;2224.95;0.00
1146;04M061;0;15;3080.97;203.64;0.00;0.00
1147;04M062;0;24;6042.50;101.02;0.00;0.00
1148;04M063;6;35;7153.75;377.35;1111.26;0.00
1149;04M064;0;0;12073.10;0.00;0.00;0.00
1150;04M06T;0;0;622.85;0.00;0.00;0.00
1151;04M071;0;19;3060.78;148.73;0.00;0.00
1152;04M072;4;32;4994.24;155.07;1933.46;0.00
1153;04M073;5;40;6520.64;136.02;1526.39;0.00
1154;04M074;9;55;8560.95;287.21;2040.31;0.00
1155;04M07T;0;0;619.52;0.00;0.00;0.00
1156;04M081;0;8;1361.63;123.29;0.00;0.00
1157;04M082;0;26;3642.22;118.57;0.00;0.00
1158;04M083;4;39;5183.67;182.11;1541.44;0.00
1159;04M084;6;65;9918.49;284.71;4734.83;0.00
