ETB_FIN_NUM;ETB_FIN_CLE;ORG_GRG_COD;ORG_CAI_NUM
64000531;0;1;641
64000533;6;1;642
64000534;4;1;641
64000559;1;1;642
64001051;8;1;641
64001352;0;1;642
64001355;3;1;641
64078026;8;1;641
64078027;6;1;641
64078031;8;1;641
64078033;4;1;641
64078040;9;1;641
64078043;3;1;641
64078045;8;1;641
64078046;6;1;641
64078048;2;1;641
64078049;0;1;641
64078058;1;1;641
64078060;7;1;641
64078062;3;1;641
64078063;1;1;641
64078064;9;1;641
64078066;4;1;641
64078067;2;1;641
64078072;2;1;641
64078074;8;1;641
64078078;9;1;641
64078093;8;1;642
64078094;6;1;642
64078098;7;1;642
64078122;5;1;642
64078130;8;1;642
64078133;2;1;642
64078134;0;1;642
64078136;5;1;642
64078139;9;1;642
64078217;3;1;642
64078220;7;1;641
64078714;9;1;642
64078715;6;1;641
64078942;6;1;642
64078964;0;1;641
64078969;9;1;641
64079554;8;1;641
64079673;6;1;641
64079683;5;1;641
64079715;5;1;641
64079729;6;1;641
65000257;9;1;651
65000504;4;1;651
65078007;5;1;651
65078031;5;1;651
65078032;3;1;651
65078034;9;1;651
65078042;2;1;651
65078067;9;1;651
65078070;3;1;651
65078072;9;1;651
65078073;7;1;651
65078857;3;1;651
65078859;9;1;651
65078860;7;1;651
65078861;5;1;651
66000495;3;1;661
66000496;1;1;661
66000497;9;1;661
66000516;6;1;661
66078009;9;1;661
66078014;9;1;661
66078020;6;1;661
66078021;4;1;661
66078024;8;1;661
66078033;9;1;661
66078034;7;1;661
66078049;5;1;661
66078053;7;1;661
66078061;0;1;661
66078062;8;1;661
66078063;6;1;661
66078066;9;1;661
66078071;9;1;661
66078073;5;1;661
66078074;3;1;661
66078077;6;1;661
66078078;4;1;661
66078080;0;1;661
66078084;2;1;661
66078109;7;1;661
66078128;7;1;661
66078686;4;1;661
66078989;2;1;661
66079016;3;1;661
66079038;7;1;661
67000218;7;1;673
67000227;8;1;673
67000547;9;1;673
67000883;8;1;671
67001332;5;1;673
67001334;1;1;671
67001389;5;1;671
67001445;5;1;673
67078016;2;1;673
67078017;0;1;673
67078020;4;1;673
67078037;8;1;671
67078038;6;1;671
67078157;4;1;673
67079496;5;1;673
67079592;1;1;671
67079772;9;1;673
67079790;1;1;673
67079966;7;1;673
68000018;9;1;682
68000019;7;1;682
68000032;0;1;682
68000033;8;1;682
68000049;4;1;682
68000129;4;1;681
68000764;8;1;681
68001082;4;1;681
68001157;4;1;682
