GHS_NUM;GHM_NUM;GHS_SEU_BAS;GHS_SEU_HAU;GHS_PRI;EXH_PRI;EHB_FOR;EHB_PRI;GHS_COE_MED;GHS_COE_DMI
4112;11C021;4;23;7295.51;183.12;0.00;1319.52;0.00177;0.00062
4113;11C022;6;35;9863.03;164.62;2567.52;0.00;0.00161;0.00167
4114;11C023;9;55;13155.38;291.23;3292.35;0.00;0.00407;0.00214
4115;11C024;12;70;17523.78;466.07;4368.40;0.00;0.04723;0.00127
4116;11C031;3;13;4313.25;177.39;0.00;839.67;0.00176;0.00163
4117;11C032;6;31;8170.30;174.02;3857.05;0.00;0.02126;0.00401
4118;11C033;5;50;11476.63;226.59;3306.33;0.00;0.02368;0.00060
4119;11C034;13;80;18274.36;423.61;6797.73;0.00;0.05015;0.00143
4120;11C041;2;8;3073.59;194.01;0.00;759.56;0.00128;0.41921
4121;11C042;0;21;5757.21;191.23;0.00;0.00;0.00164;0.17648
4122;11C043;0;36;9560.77;169.48;0.00;0.00;0.01703;0.01775
4123;11C044;13;79;16848.32;395.00;7287.55;0.00;0.01703;0.01775
4124;11C04J;0;0;1554.46;0.00;0.00;0.00;0.00014;0.01494
4125;11C051;2;6;1845.01;139.83;0.00;261.98;0.00940;0.00419
4126;11C052;0;17;3396.67;142.60;0.00;0.00;0.01977;0.00152
4127;11C053;0;33;6161.77;135.05;0.00;0.00;0.01135;0.00076
4128;11C054;6;52;9075.61;324.86;2913.84;0.00;0.01815;0.00196
4129;11C05J;0;0;1321.05;0.00;0.00;0.00;0.00066;0.02977
4130;11C061;0;5;1576.84;577.38;0.00;0.00;0.00035;0.00021
4131;11C062;0;0;3511.53;0.00;0.00;0.00;0.00035;0.00021
4132;11C063;0;0;6453.78;0.00;0.00;0.00;0.00035;0.00021
4133;11C064;0;0;10276.41;0.00;0.00;0.00;0.00035;0.00021
4134;11C071;2;8;2130.75;261.47;0.00;582.49;0.00405;0.00222
4135;11C072;0;18;4745.44;265.02;0.00;0.00;0.00162;0.00038
4136;11C073;0;33;8720.79;489.60;0.00;0.00;0.00162;0.00038
4137;11C074;0;0;13886.19;0.00;0.00;0.00;0.00162;0.00038
4138;11C07J;0;0;965.76;0.00;0.00;0.00;0.00018;0.00018
4139;11C081;0;7;2044.02;150.80;0.00;0.00;0.00363;0.17669
4140;11C082;0;34;6115.68;193.33;0.00;0.00;0.01498;0.00940
4141;11C083;8;67;12495.71;246.86;6380.03;0.00;0.01843;0.00021
4142;11C084;12;97;19901.54;382.09;7405.83;0.00;0.02271;0.00563
4143;11C08T;0;0;1204.74;0.00;0.00;0.00;0.00298;0.99440
4144;11C091;0;5;1953.81;138.55;0.00;0.00;0.00551;0.01481
4145;11C092;0;28;5756.94;132.02;0.00;0.00;0.01081;0.01720
4146;11C093;8;64;10509.82;149.69;4752.88;0.00;0.03904;0.00239
4147;11C094;15;92;14701.04;299.28;4191.22;0.00;0.02366;0.00732
4148;11C09J;0;0;1137.34;0.00;0.00;0.00;0.00058;0.00040
4273;11K021;3;9;2093.31;181.45;0.00;495.70;0.01128;0.00544
4274;11K022;0;32;6484.28;176.26;0.00;0.00;0.02209;0.00691
4275;11K023;6;52;12378.33;68.59;5894.05;0.00;0.04142;0.00336
4276;11K024;12;74;13887.28;350.61;1508.95;0.00;0.05416;0.00371
4277;11K02J;0;0;606.22;0.00;0.00;0.00;0.02396;0.00001
4278;11K03Z;0;0;799.84;0.00;0.00;0.00;0.00105;0.02156
4279;11K04Z;0;0;431.52;0.00;0.00;0.00;0.00960;0.03049
4280;11K05Z;0;0;832.37;0.00;0.00;0.00;0.01129;0.00025
4281;11K06Z;0;0;402.98;0.00;0.00;0.00;0.00385;0.00198
4282;11K07Z;0;0;749.76;0.00;0.00;0.00;0.00322;0.00012
4283;11K08J;0;0;906.12;0.00;0.00;0.00;0.00006;0.00006
4284;11M021;0;6;1240.72;81.32;0.00;0.00;0.00214;0.00021
4285;11M022;0;12;2059.43;72.56;0.00;0.00;0.01118;0.00075
4286;11M023;0;32;3510.55;74.24;0.00;0.00;0.00102;0.00014
4287;11M024;0;39;4030.22;193.13;0.00;0.00;0.00102;0.00014
4342;11M02T;0;0;622.11;0.00;0.00;0.00;0.00123;0.00014
4288;11M031;2;7;1670.54;174.65;0.00;525.59;0.00097;0.00004
4289;11M032;0;12;2722.94;156.73;0.00;0.00;0.00442;0.00002
4290;11M033;0;14;3683.91;75.79;0.00;0.00;0.02413;0.00022
4291;11M034;0;22;4290.22;354.11;0.00;0.00;0.00380;0.00033
