UCD_COD;APP_DTE;UCD_TTC_MNT
9183203;01DEC2013:00:00:00;2.02
9183947;01JAN2010:00:00:00;22.26
9183976;01JUL2013:00:00:00;50.85
9184438;01JAN2010:00:00:00;30.02
9184467;01JAN2010:00:00:00;287.95
9184711;01JAN2010:00:00:00;2.04
9184881;01JUN2011:00:00:00;63.91
9184906;12JUL2013:00:00:00;4.90
9185314;01JAN2010:00:00:00;
9185923;01JAN2010:00:00:00;53.30
9185946;01JAN2010:00:00:00;42.60
9186437;01JAN2010:00:00:00;4.08
9186443;01JAN2010:00:00:00;6.13
9187023;01JAN2012:00:00:00;245.04
9187939;10AUG2012:00:00:00;9.32
9187945;10AUG2012:00:00:00;15.37
9189944;01JAN2010:00:00:00;153.15
9190692;01JAN2010:00:00:00;
9191527;01JAN2010:00:00:00;3.73
9191533;01JAN2010:00:00:00;1.18
9191556;01JAN2010:00:00:00;2.13
9192107;01JAN2010:00:00:00;3.73
9192113;01JAN2010:00:00:00;1.18
9192136;01JAN2010:00:00:00;2.13
9192432;01JAN2010:00:00:00;3.37
9193845;01JAN2010:00:00:00;
9193851;01JAN2010:00:00:00;
9193868;01JAN2010:00:00:00;
9193874;01JAN2010:00:00:00;
9193928;15OCT2013:00:00:00;61.98
9193940;15OCT2013:00:00:00;619.75
9193992;15OCT2013:00:00:00;3.10
9194023;15OCT2013:00:00:00;309.87
9194046;11MAY2005:00:00:00;257.29
9194052;11MAY2005:00:00:00;1310.96
9194460;01JUN2010:00:00:00;377.63
9194796;01JAN2010:00:00:00;2.86
9194804;01JAN2010:00:00:00;4.08
9194856;01JAN2010:00:00:00;
9194862;01JAN2010:00:00:00;
9194939;01JAN2010:00:00:00;4.08
9194945;01JAN2010:00:00:00;2.55
9195726;01JAN2010:00:00:00;4.08
9195732;01JAN2010:00:00:00;4.08
9195749;01JAN2010:00:00:00;2.55
9196163;01JAN2010:00:00:00;3.73
9196186;01JAN2010:00:00:00;1.18
9196192;01JAN2010:00:00:00;2.13
9196200;01JAN2010:00:00:00;9.27
9196246;01JAN2010:00:00:00;132.73
9196424;01JAN2010:00:00:00;37.82
9196476;03AUG2013:00:00:00;3.19
9197441;01JAN2012:00:00:00;1.92
9197518;01JAN2010:00:00:00;114.67
9197702;01JAN2010:00:00:00;269.21
9197719;01JAN2010:00:00:00;1346.04
9199055;01SEP2012:00:00:00;561.55
9199061;01JAN2010:00:00:00;114.86
9199078;01SEP2012:00:00:00;280.78
9199173;15OCT2013:00:00:00;123.95
9200031;01JAN2010:00:00:00;1.97
9200048;01JAN2010:00:00:00;0.70
9200692;18MAR2013:00:00:00;4.20
9200700;01JAN2010:00:00:00;
9200953;01JAN2010:00:00:00;
9200976;01JAN2010:00:00:00;
9200982;01MAR2012:00:00:00;735.12
9200999;01MAR2012:00:00:00;183.78
9201007;01MAR2012:00:00:00;367.56
9201065;01APR2014:00:00:00;2.41
9201094;15OCT2013:00:00:00;6.20
9201102;15OCT2013:00:00:00;61.98
9201119;15OCT2013:00:00:00;12.39
9201125;15OCT2013:00:00:00;123.95
9201131;15OCT2013:00:00:00;18.59
9201148;15OCT2013:00:00:00;3.10
9201154;15OCT2013:00:00:00;30.99
9202018;11MAY2005:00:00:00;1082.77
9202260;01JAN2010:00:00:00;
9202308;01JAN2010:00:00:00;1.33
9202314;01JAN2010:00:00:00;6.13
9202320;01JAN2010:00:00:00;3.37
9202774;01JAN2010:00:00:00;4.08
9202780;01JAN2010:00:00:00;14.29
9202834;01JAN2010:00:00:00;18.38
9202840;01JAN2010:00:00:00;35.74
9202857;01JAN2010:00:00:00;269.54
9202863;01JAN2010:00:00:00;89.85
9202886;01JUN2011:00:00:00;74.21
9203058;01JAN2010:00:00:00;88.20
9203064;01JAN2010:00:00:00;17.64
9203070;01JAN2010:00:00:00;220.52
9203087;01JAN2010:00:00:00;4.08
9203383;01OCT2010:00:00:00;59.18
9203408;01JAN2010:00:00:00;155.19
9203934;01JAN2010:00:00:00;
9203940;01JAN2010:00:00:00;
9203957;01JAN2010:00:00:00;
9205459;01JAN2010:00:00:00;
9206453;01JAN2010:00:00:00;
9206708;01JAN2010:00:00:00;63.70
9206714;01JAN2010:00:00:00;114.67
9206737;01JAN2010:00:00:00;191.13
9206766;01JAN2010:00:00:00;382.25
9206921;01JAN2013:00:00:00;379.25
9207719;15OCT2013:00:00:00;251.96
9208245;01JAN2010:00:00:00;1.33
9208251;01JAN2010:00:00:00;2.35
9208268;01JAN2010:00:00:00;3.37
9208280;01JAN2010:00:00:00;12.25
9208297;01JAN2010:00:00:00;23.48
9208570;01APR2012:00:00:00;3.04
9208593;01JAN2010:00:00:00;
9208624;01SEP2011:00:00:00;44.30
9208630;01SEP2011:00:00:00;115.32
9208647;01SEP2011:00:00:00;24.10
9208914;01JAN2010:00:00:00;13.25
9210213;01JAN2010:00:00:00;9.19
9210236;01JAN2010:00:00:00;19.40
9210242;01JAN2010:00:00:00;5.11
9210845;01JAN2010:00:00:00;
9211359;01OCT2010:00:00:00;4.07
9211371;01JAN2010:00:00:00;515.61
9211388;01JAN2010:00:00:00;257.29
9211425;01JAN2010:00:00:00;0.93
9212011;01APR2014:00:00:00;1.20
9212028;01APR2014:00:00:00;0.60
9212264;20AUG2005:00:00:00;1148.63
9212436;01JAN2010:00:00:00;2.32
9212442;01JAN2010:00:00:00;4.14
9212488;01JAN2011:00:00:00;212.88
9212494;01JAN2011:00:00:00;425.76
9212502;01JAN2011:00:00:00;106.44
9212525;01JAN2010:00:00:00;2.62
9212531;01JAN2010:00:00:00;31.49
9212548;01OCT2010:00:00:00;66.44
9212956;01JAN2010:00:00:00;
9213737;01JUN2011:00:00:00;492.81
9213743;01JAN2012:00:00:00;781.71
9213766;01JAN2012:00:00:00;470.75
9216925;01JAN2010:00:00:00;9.27
9217362;01JAN2010:00:00:00;1.87
9217379;01JAN2010:00:00:00;2.99
9217385;01JAN2010:00:00:00;3.74
9217391;01JAN2010:00:00:00;5.98
9217592;01JAN2010:00:00:00;1.33
9217600;01JAN2010:00:00:00;2.35
9217617;01JAN2010:00:00:00;3.37
9217741;01JAN2010:00:00:00;
9218203;01JAN2010:00:00:00;
9218226;01JAN2010:00:00:00;
9218232;01JAN2010:00:00:00;
9218261;01JAN2010:00:00:00;155.19
9218605;01JAN2010:00:00:00;9.19
9218611;01JAN2010:00:00:00;19.40
9218628;01JAN2010:00:00:00;5.11
9219390;01JAN2010:00:00:00;155.19
9219467;01JAN2010:00:00:00;459.45
9219740;02NOV2011:00:00:00;1514.89
9220097;01JUN2013:00:00:00;548.14
9220275;01JAN2010:00:00:00;6.13
9220306;01JAN2010:00:00:00;2.40
9220861;01JAN2010:00:00:00;19.11
9220878;01JAN2010:00:00:00;28.67
9220884;01JAN2010:00:00:00;38.23
9220890;01JAN2010:00:00:00;57.35
9221984;01JAN2010:00:00:00;156.21
9221990;01JAN2010:00:00:00;187.46
9222009;01JAN2010:00:00:00;234.32
9222015;01JAN2010:00:00:00;78.11
9222021;01JAN2010:00:00:00;124.97
9222222;01JAN2010:00:00:00;
9222647;01JAN2010:00:00:00;4.08
9222676;01JAN2010:00:00:00;42.88
9222682;01JAN2010:00:00:00;14.29
9223078;01JAN2010:00:00:00;
9223084;01JAN2010:00:00:00;
9381067;10AUG2012:00:00:00;
9381073;10AUG2012:00:00:00;
9381222;03AUG2012:00:00:00;245.04
9382003;10AUG2012:00:00:00;71.31
9382026;10AUG2012:00:00:00;277.30
9382032;10AUG2012:00:00:00;470.72
9382084;01JAN2014:00:00:00;1814.15
9382173;25JUL2012:00:00:00;
9382196;25JUL2012:00:00:00;
9382262;03AUG2012:00:00:00;
9382351;09MAR2013:00:00:00;612.60
9382405;25JUL2012:00:00:00;
9382730;20SEP2012:00:00:00;7.67
9382807;25JUL2012:00:00:00;
9383497;29SEP2012:00:00:00;735.12
9383505;29SEP2012:00:00:00;1102.68
9383511;29SEP2012:00:00:00;183.78
9383528;29SEP2012:00:00:00;367.56
9384077;10OCT2012:00:00:00;4966.14
9384485;27JUL2013:00:00:00;537.78
9384491;27JUL2013:00:00:00;71.31
9384516;27JUL2013:00:00:00;277.30
9385013;10OCT2012:00:00:00;254.72
9385728;03AUG2012:00:00:00;
9385734;03AUG2012:00:00:00;
